name,part_url,price,protocol,interface,color
Intel 6205,https://pcpartpicker.com/product/khR48d/intel-wireless-network-card-62205anhmwg,,Wi-Fi 4,Mini-PCIe,
Intel 6235ANHMW,https://pcpartpicker.com/product/M7kD4D/intel-wireless-network-card-6235anhmwg,,Wi-Fi 4,Mini-PCIe,
Asus USB-AC55,https://pcpartpicker.com/product/wXL7YJ/asus-wireless-network-card-usbac55,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Asus USB-N13,https://pcpartpicker.com/product/TBDzK8/asus-wireless-network-card-usbn13cradle,,Wi-Fi 4,USB Type-A 2.0,
Belkin AE3000,https://pcpartpicker.com/product/9hn2FT/belkin-wireless-network-card-ae3000np,,Wi-Fi 4,USB Type-A 2.0,
Belkin F7D2102TT,https://pcpartpicker.com/product/V2qdnQ/belkin-wireless-network-card-f7d2102tt,,Wi-Fi 4,USB Type-A 2.0,
BenQ WDRT8192,https://pcpartpicker.com/product/B8W9TW/benq-wdrt8192-usb-20-80211abgn-wi-fi-adapter-5jj3f28a01,,Wi-Fi 4,USB Type-A 2.0,
Cisco AE1200,https://pcpartpicker.com/product/448H99/cisco-wireless-network-card-ae1200,,Wi-Fi 4,USB Type-A 2.0,
Hawking Technology HW7ACU,https://pcpartpicker.com/product/NMp323/hawking-technology-wireless-network-card-hw7acu,,Wi-Fi 5,USB Type-A 2.0,
IOGEAR GWU735,https://pcpartpicker.com/product/wv648d/iogear-wireless-network-card-gwu735,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Rosewill RNX-AC1200UBE2,https://pcpartpicker.com/product/7gDwrH/rosewill-wireless-network-card-ac1200ube2,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Rosewill RNX-N600UB,https://pcpartpicker.com/product/3vLypg/rosewill-wireless-network-card-rnxn600ub,,Wi-Fi 4,USB Type-A 2.0,
StarTech PEX867WAC22,https://pcpartpicker.com/product/76M323/startech-wireless-network-card-pex867wac22,102.99,Wi-Fi 5,PCIe x1,
StarTech USB300WN2X2C,https://pcpartpicker.com/product/7MnG3C/startech-wireless-network-card-usb300wn2x2c,24.14,Wi-Fi 4,USB Type-A 2.0,
StarTech USB867WAC22,https://pcpartpicker.com/product/kzmLrH/startech-wireless-network-card-usb867wac22,25,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Edimax EW-7711MAC,https://pcpartpicker.com/product/TWMFf7/edimax-wireless-network-card-ew7711mac,,Wi-Fi 5,USB Type-A 2.0,
Intel 6300,https://pcpartpicker.com/product/Xyp323/intel-wireless-network-card-633anhmwebc,,Wi-Fi 4,Mini-PCIe,
Intel 7260,https://pcpartpicker.com/product/7v648d/intel-wireless-network-card-7260hmwbnwbr,,Wi-Fi 4,Mini-PCIe,
Intel 7260,https://pcpartpicker.com/product/4v648d/intel-wireless-network-card-7260hmwnbwbr,,Wi-Fi 4,Mini-PCIe,
Edimax EW-7811DAC,https://pcpartpicker.com/product/YcQypg/edimax-ew-7811dac-usb-20-80211abgnac-wi-fi-adapter-ew-7811dac,,Wi-Fi 5,USB Type-A 2.0,
AUKEY WF-R12,https://pcpartpicker.com/product/LVbkcf/aukey-wf-r12-none-wi-fi-adapter-wf-r12,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Athenatech NE-WN3201D,https://pcpartpicker.com/product/mPnG3C/athenatech-ne-wn3201d-none-wi-fi-adapter-ne-wn3201d,,Wi-Fi 4,USB Type-A 2.0,
Edimax EW-7822PIC,https://pcpartpicker.com/product/pmgPxr/edimax-ew-7822pic-none-wi-fi-adapter-ew-7822pic,,Wi-Fi 5,PCIe x1,
TRENDnet TEW-806UBH,https://pcpartpicker.com/product/mDrG3C/trendnet-tew-806ubh-none-wi-fi-adapter-tew-806ubh,,Wi-Fi 5,USB Type-A 2.0,
Rosewill RNX-N600PCE_v2.0,https://pcpartpicker.com/product/PYrcCJ/rosewill-rnx-n600pce_v20-none-wi-fi-adapter-rnx-n600pce_v20,,Wi-Fi 4,PCIe x1,
TP-Link Archer T4UH,https://pcpartpicker.com/product/xyX2FT/tp-link-archer-t4uh-usb-30-80211abgnac-wi-fi-adapter-archer-t4uh,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Rosewill RNX-N150NUB,https://pcpartpicker.com/product/d3bkcf/rosewill-rnx-n150nub-usb-20-80211abgn-wi-fi-adapter-rnx-ac600ub_v20,,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-N300UB,https://pcpartpicker.com/product/P298TW/rosewill-rnx-n300ub-none-wi-fi-adapter-rnx-n300ub,,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-N150NUB,https://pcpartpicker.com/product/bnH48d/rosewill-rnx-n150nub-usb-20-80211abgn-wi-fi-adapter-rnx-ac1200ub,,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-N150NUB,https://pcpartpicker.com/product/WnH48d/rosewill-rnx-n150nub-none-wi-fi-adapter-rnx-n150nub,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-807ECH,https://pcpartpicker.com/product/hJbkcf/trendnet-tew-807ech-none-wi-fi-adapter-tew-807ech,52.99,Wi-Fi 5,PCIe x1,
Linksys AE3000-CA,https://pcpartpicker.com/product/gTJkcf/linksys-ae3000-ca-none-wi-fi-adapter-ae3000-ca,,Wi-Fi 4,USB Type-A 2.0,
Linksys AE2500-CA,https://pcpartpicker.com/product/ZLs8TW/linksys-ae2500-ca-none-wi-fi-adapter-ae2500-ca,,Wi-Fi 4,USB Type-A 2.0,
Netgear WF2190,https://pcpartpicker.com/product/b27v6h/netgear-wf2190-none-wi-fi-adapter-wf2190,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Inamax 4332804407,https://pcpartpicker.com/product/Hpkj4D/inamax-4332804407-none-wi-fi-adapter-4332804407,,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Rosewill RNX-AC600PCEv3,https://pcpartpicker.com/product/y8BTwP/rosewill-rnx-ac600pcev3-none-wi-fi-adapter-rnx-ac600pcev3,,Wi-Fi 5,PCIe x1,Black
Hawking Technology HW17ACU,https://pcpartpicker.com/product/TR3H99/hawking-technology-hw17acu-none-wi-fi-adapter-hw17acu,,Wi-Fi 5,USB Type-A 2.0,Black
BrosTrend AC6,https://pcpartpicker.com/product/XGsmP6/brostrend-ac6-none-wi-fi-adapter-ac6,,Wi-Fi 5,PCIe x1,Red / Black
Rosewill RNX-AC1200UBv2,https://pcpartpicker.com/product/3LGxFT/rosewill-rnx-ac1200ubv2-usb-30-wi-fi-adapter-rnx-ac1200ubv2,,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Asus USB-AC55 B1,https://pcpartpicker.com/product/4yhKHx/asus-usb-ac55-b1-usb-30-wi-fi-adapter-usb-ac55-b1,,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
TRENDnet TBW-108UB,https://pcpartpicker.com/product/X7YQzy/trendnet-tbw-108ub-usb-20-wi-fi-adapter-tbw-108ub,,Wi-Fi 4,USB Type-A 2.0,Black
TRENDnet TEW-808UBM,https://pcpartpicker.com/product/hXsnTW/trendnet-tew-808ubm-usb-20-wi-fi-adapter-tew-808ubm,,Wi-Fi 5,USB Type-A 2.0,Black
Rosewill RNX-AC1900UB,https://pcpartpicker.com/product/bBmFf7/rosewill-rnx-ac1900ub-usb-30-wi-fi-adapter-rnx-ac1900ub,,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Rosewill RNX-AC1900PCEv2,https://pcpartpicker.com/product/m9WBD3/rosewill-rnx-ac1900pcev2-pcie-x1-wi-fi-adapter-rnx-ac1900pcev2,,Wi-Fi 5,PCIe x1,Red / Black
TP-Link ARCHER T4UHP,https://pcpartpicker.com/product/9m97YJ/tp-link-archer-t4uhp-usb-30-wi-fi-adapter-archer-t4uhp,,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Syba SY-PEX23059,https://pcpartpicker.com/product/VMsmP6/syba-sy-pex23059-pcie-x1-wi-fi-adapter-sy-pex23059,,Wi-Fi 4,PCIe x1,Green / Black
Linksys WUSB6100M,https://pcpartpicker.com/product/XTKcCJ/linksys-wusb6100m-usb-30-80211abgnac-wi-fi-adapter-wusb6100m,,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
HP 8265,https://pcpartpicker.com/product/rzQG3C/hp-8265-pcie-x1-80211abgnac-wi-fi-adapter-1ql48aa,,Wi-Fi 5,PCIe x1,Green / Black
HP 9260,https://pcpartpicker.com/product/hrdxFT/hp-9260-pcie-x1-80211abgnac-wi-fi-adapter-3tk89at,,Wi-Fi 5,PCIe x1,Green / Black
Sabrent USB-802N,https://pcpartpicker.com/product/FWx2FT/sabrent-usb-802n-usb-20-80211bgn-wi-fi-adapter-usb-802n,38.99,Wi-Fi 4,USB Type-A 2.0,Black
Belkin Linksys AE1200-NP,https://pcpartpicker.com/product/M3c48d/belkin-linksys-ae1200-np-usb-30-80211bgn-wi-fi-adapter-ae1200-np,,Wi-Fi 4,USB Type-A 3.2 Gen 1,Black
fenvi FV8303,https://pcpartpicker.com/product/bKn8TW/fenvi-fv8303-pcie-x1-80211abgn-wi-fi-adapter-fv8303,,Wi-Fi 4,PCIe x1,
Hommie N900,https://pcpartpicker.com/product/PCBhP6/hommie-n900-pcie-x1-80211abgn-wi-fi-adapter-p01w-eu,,Wi-Fi 4,PCIe x1,
fenvi FV-AX3000R,https://pcpartpicker.com/product/CDLFf7/fenvi-fv-ax3000r-80211abgnacax-pcie-x1-wi-fi-adapter-fv-ax3000r,,Wi-Fi 6,PCIe x1,Red / Black
Intel 8265.NGWMG.DTX1,https://pcpartpicker.com/product/DsTPxr/intel-8265ngwmgdtx1-80211abgnac-m2-wi-fi-adapter-8265ngwmgdtx1,,Wi-Fi 5,M.2,
Intel AX210 w/vPro,https://pcpartpicker.com/product/f9xRsY/intel-ax210-wvpro-80211abgnacax-m2-wi-fi-adapter-ax210ngwgie,,Wi-Fi 6E,M.2 PCIe,Green
Intel AX210,https://pcpartpicker.com/product/NqYmP6/intel-ax210-80211abgnacax-m2-wi-fi-adapter-ax210ngwgiinv,,Wi-Fi 6E,M.2 PCIe,Green
Intel AX210 w/vPro,https://pcpartpicker.com/product/L2qPxr/intel-ax210-wvpro-80211abgnacax-m2-wi-fi-adapter-ax210ngwgii,,Wi-Fi 6E,M.2 PCIe,Green
fenvi Wi-Fi 7 FV-BE8800Pro,https://pcpartpicker.com/product/2T7scf/fenvi-wi-fi-7-fv-be8800pro-80211abgnacax-pcie-x1-wi-fi-adapter-wi-fi-7-fv-be8800pro,,Wi-Fi 7,PCIe x1,Red / Black
fenvi FV-AXE3000RGB,https://pcpartpicker.com/product/bdWJ7P/fenvi-fv-axe3000rgb-80211abgnacax-pcie-x1-wi-fi-adapter-fv-axe3000rgb,,Wi-Fi 6E,PCIe x1,Red / Silver
Asus USB-N13 C1,https://pcpartpicker.com/product/9GK2FT/asus-usb-n13-c1-80211abgn-usb-type-a-wi-fi-adapter-90ig05d0-ma0r00,,Wi-Fi 4,USB Type-A,
D-Link DWA-181-US,https://pcpartpicker.com/product/YhCFf7/d-link-dwa-181-us-80211abgnac-usb-type-a-wi-fi-adapter-dwa-181-us,21.99,Wi-Fi 5,USB Type-A 2.0,Black
D-Link DWA-X3000,https://pcpartpicker.com/product/RVXJ7P/d-link-dwa-x3000-80211abgnacax-pcie-x1-wi-fi-adapter-dwa-x3000,,Wi-Fi 6,PCIe x1,Black
Rosewill RNX-AC3000,https://pcpartpicker.com/product/vkxbt6/rosewill-rnx-ac3000-80211abgnacax-pcie-x1-wi-fi-adapter-rnx-ac3000,,Wi-Fi 6,PCIe x1,Black
